trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
28,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.414602,51,69.882251,69.882251,1.000000,1,0,0.965517,0.960422,0.962963
29,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.920365,2752,69.882251,69.882251,1.000000,1,0,0.979827,0.982659,0.981241
29,baseline,a_star,1,1,0,SLOW,SLOW,1,0.812865,84,69.882251,69.882251,1.000000,1,0,0.979827,0.982659,0.981241
29,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.548191,51,69.882251,69.882251,1.000000,1,0,0.979827,0.982659,0.981241
30,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,20.754851,2778,72.811183,72.811183,1.000000,1.000000,0,0.961652,0.961652,0.961652
30,baseline,a_star,1,1,0,SLOW,SLOW,1,3.281974,378,72.811183,72.811183,1.000000,1.000000,0,0.961652,0.961652,0.961652
30,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.856261,88,72.811183,72.811183,1.000000,1.000000,0,0.961652,0.961652,0.961652
31,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.314955,2576,70.468037,70.468037,1.000000,1.000000,0,0.947368,0.931608,0.939422
31,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.101302,115,70.468037,70.468037,1.000000,1.000000,0,0.947368,0.931608,0.939422
31,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.543928,52,70.468037,70.468037,1.000000,1.000000,0,0.947368,0.931608,0.939422
32,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,28.526168,2601,70.468037,71.053824,0.991756,1.000000,1,0.958580,0.962376,0.960474
32,cluttered_static,a_star,0,1,0,SLOW,STOP,0,1.612997,147,70.468037,71.053824,0.991756,1.000000,1,0.958580,0.962376,0.960474
32,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.610575,55,71.053824,71.053824,1.000000,1.000000,1,0.958580,0.962376,0.960474
33,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,23.107423,2607,72.225397,72.225397,1.000000,1.000000,0,0.961014,0.942639,0.951737
33,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,3.059301,341,72.225397,72.225397,1.000000,1.000000,0,0.961014,0.942639,0.951737
33,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.645889,63,72.225397,72.225397,1.000000,1.000000,0,0.961014,0.942639,0.951737
34,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.180245,2581,70.468037,70.468037,1.000000,1.000000,0,0.952652,0.947269,0.949953
34,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.039472,114,70.468037,70.468037,1.000000,1.000000,0,0.952652,0.947269,0.949953
34,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.561407,53,70.468037,70.468037,1.000000,1.000000,0,0.952652,0.947269,0.949953
35,cluttered_static,dijkstra_navfn_style,1,1,0,PROCEED,PROCEED,1,17.046685,2588,69.882251,69.882251,1.000000,2,0,0.972973,0.942056,0.957265
35,cluttered_static,a_star,1,1,0,PROCEED,PROCEED,1,1.017350,110,69.882251,69.882251,1.000000,2,0,0.972973,0.942056,0.957265
35,cluttered_static,weighted_a_star,1,1,0,PROCEED,PROCEED,1,0.542890,51,69.882251,69.882251,1.000000,2,0,0.972973,0.942056,0.957265
36,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,16.632532,2513,71.639610,71.639610,1.000000,1.000000,0,0.967851,0.954925,0.961345
36,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.495987,172,71.639610,71.639610,1.000000,1.000000,0,0.967851,0.954925,0.961345
36,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.578284,58,72.225397,71.639610,1.008177,1.000000,0,0.967851,0.954925,0.961345
37,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.411586,2565,69.882251,69.882251,1.000000,1,0,0.963168,0.947464,0.955251
37,cluttered_static,a_star,0,1,0,SLOW,STOP,0,0.673203,67,69.882251,69.882251,1.000000,1,1,0.963168,0.947464,0.955251
37,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.762043,51,69.882251,69.882251,1.000000,1,1,0.963168,0.947464,0.955251
